"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
38,38,NA,1984-03-03,-0.474144371145653,5175,4.5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
39,39,NA,1984-03-14,-0.473187009535644,5186,5,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
40,40,NA,1984-03-17,-0.472925910914732,5189,4.5,1,"Independent",0,0,4,"Exact",21,0,"M",0,NA,1984,NA,NA,NA,NA,NA
41,41,NA,1984-03-18,-0.472838878041095,5190,2,1,"Independent",0,0,4,"Exact",21,0,"M",0,NA,1984,NA,NA,NA,NA,NA
42,42,NA,1984-03-21,-0.472577779420183,5193,2,1,"Independent",0,0,4,"Exact",21,0,"M",0,NA,1984,NA,NA,NA,NA,NA
43,43,NA,1984-03-24,-0.472316680799271,5196,5,1,"Independent",0,40,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
44,44,NA,1984-03-26,-0.472142615051997,5198,2,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
45,45,NA,1984-03-27,-0.47205558217836,5199,3,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
46,46,NA,1984-04-04,-0.471359319189262,5207,8,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
49,49,NA,1983-07-04,-0.495293359439498,4932,5,1,"Independent",0,20,4,"Exact",20,0,"M",0,0,1983,NA,NA,NA,NA,NA
50,50,NA,1984-05-04,-0.468748332980145,5237,NA,1,"Independent",0,0,4,"Exact",21,0,"M",0,1,1984,NA,NA,NA,NA,NA
51,51,NA,1983-07-05,-0.49520632656586,4933,NA,1,"Independent",0,40,4,"Exact",20,0,"M",0,0,1983,NA,NA,NA,NA,NA
52,52,NA,1983-10-26,-0.485371611844855,5046,11,1,"Cooperative",0,30,4,"Exact",20,0,"M",0,1,1983,46,"M",13,0,0
58,58,NA,1984-05-01,-0.469009431601057,5234,NA,1,"Independent",0,0,6,"Exact",40,0,"M",0,1,1984,NA,NA,NA,NA,NA
60,60,NA,1983-02-25,-0.506520600138699,4803,NA,1,"Independent",0,0,8,"Exact",32,0,"M",NA,0,1983,NA,NA,NA,NA,NA
61,61,NA,1983-09-28,-0.487808532306697,5018,NA,1,"Independent",0,0,8,"Exact",32,0,"M",NA,0,1983,NA,NA,NA,NA,NA
62,62,NA,1983-09-16,-0.488852926790343,5006,NA,1,"Cooperative",0,20,8,"Exact",32,0,"M",0,1,1983,31,"F",32,0,0
63,63,NA,1983-12-07,-0.481716231152091,5088,NA,1,"Independent",0,30,8,"Exact",32,0,"M",NA,0,1983,NA,NA,NA,NA,NA
68,68,NA,1983-09-29,-0.487721499433059,5019,NA,1,"Independent",0,0,10,"Exact",27,0,"M",NA,1,1983,NA,NA,NA,NA,NA
70,70,NA,1984-01-13,-0.478496014827514,5125,NA,1,"Independent",0,40,11,"Exact",32,0,"M",NA,1,1984,NA,NA,NA,NA,NA
78,78,NA,1983-09-28,-0.487808532306697,5018,NA,1,"Independent",0,0,18,"Exact",28,0,"M",0,NA,1983,NA,NA,NA,NA,NA
79,79,NA,1983-02-25,-0.506520600138699,4803,NA,1,"Cooperative",0,0,20,"Exact",43,0,"M",0,1,1983,39,"F",35,0,0
80,80,NA,1983-02-27,-0.506346534391425,4805,NA,1,"Cooperative",0,0,20,"Exact",43,0,"M",0,1,1983,39,"F",35,0,0
81,81,NA,1983-07-08,-0.494945227944949,4936,NA,1,"Cooperative",0,60,20,"Exact",43,0,"M",0,1,1983,39,"F",35,0,0
82,82,NA,1983-10-26,-0.485371611844855,5046,NA,1,"Cooperative",0,0,20,"Exact",43,0,"M",0,NA,1983,39,"F",35,0,0
